Akashiwo,Alexandrium_singlet,Amy_Gony_Protoc,Asterionellopsis,Boreadinium,Centric,Ceratium,Chaetoceros,Ciliates,Clusterflagellate,Cochlodinium,Corethron,Cryptophyte,Cyl_Nitz,Det_Cer_Lau,Dictyocha,Dinophysis,Ditylum,Entomoneis,Eucampia,FlagMix,Guin_Dact,Gymnodinium,Gyrodinium,Hemiaulus,Leptocylindrus,Licmophora,Lingulodinium,Mesodinium,NanoP_less10,Odontella,Pennate,Peridinium,Phaeocystis,Pleurosigma,Polykrikos,Prorocentrum,Protoperidinium,Pseudo_nitzschia,Pyramimonas,Rhiz_Prob,Scrip_Het,Skeletonema,Thalassionema,Thalassiosira,Tiarina,Tintinnid,Tontonia,Torodinium,Tropidoneis,Vicicitus,unclassified,datetime
2.01957382687573e-05,9.0880822209408e-05,1.00978691343787e-05,4.03914765375147e-05,0,0.00114105921218479,3.53425419703254e-05,0.000626067886331478,0.00171663775284437,0.000338278616001685,5.04893456718934e-06,0.000181761644418816,0.00112591240848322,0.000146419102448491,5.55382802390827e-05,0.000212055251821952,0,2.52446728359467e-05,0.000671508297436182,1.00978691343787e-05,0.000186810578986005,9.59297567765974e-05,0.000323131812300117,5.04893456718934e-06,1.00978691343787e-05,6.56361493734614e-05,0,1.00978691343787e-05,0.000201957382687573,0.00477629210056111,1.5146803701568e-05,0.000307985008598549,1.5146803701568e-05,5.04893456718934e-06,1.5146803701568e-05,0,7.06850839406507e-05,0,4.03914765375147e-05,3.53425419703254e-05,3.53425419703254e-05,0.000116125495045355,5.04893456718934e-06,0.000106027625910976,0.000348376485136064,0,0,1.5146803701568e-05,0.000313033943165739,0,0,0.00939606722953935,2016-01-07 03:23:42
0,0,0.000413095906529905,0,0,0.000413095906529905,0,0.000413095906529905,0.0165238362611962,0.00371786315876914,0,0,0.000413095906529905,0,0,0,0,0,0.000826191813059809,0,0,0,0.00123928771958971,0,0,0,0,0,0.000413095906529905,0.00537024678488876,0,0.00123928771958971,0,0,0,0,0.000413095906529905,0,0,0,0,0.000826191813059809,0,0,0.000826191813059809,0,0,0,0,0,0,0.0202416994199653,2016-01-11 21:09:34
1.06007425999167e-05,0.000174912252898626,1.06007425999167e-05,2.65018564997918e-05,0,0.000757953095894045,1.59011138998751e-05,0.000180212624198584,0.00148410396398834,0.000477033416996252,5.30037129995836e-06,2.12014851998334e-05,0.000402828218796835,3.18022277997501e-05,0,0.000127208911199001,5.30037129995836e-06,0,0.000789755323693795,0,7.95055694993753e-05,5.30037129995836e-06,0.00035512487709721,0,0,5.30037129995836e-05,0,0,0.000349824505797251,0.00163781473168713,2.65018564997918e-05,0.000227915965898209,4.24029703996668e-05,0,0,0,4.24029703996668e-05,0,2.12014851998334e-05,1.06007425999167e-05,0,0.000196113738098459,5.30037129995836e-06,2.12014851998334e-05,0.000217315223298293,0,0,2.12014851998334e-05,0.000227915965898209,0,0,0.00628093999045065,2016-01-14 05:26:50
0.00200790624377961,0.00393214972740173,0.000920290361732321,0.0184058072346464,0,0.0272740598113397,0.00142226692267722,0.140386111544258,0.00844993877590585,0.00510342836960651,0.00451778904850412,0,0.00158959244299219,0.00911924085716572,0.00485244008913405,0.00485244008913405,0.000920290361732321,0.000250988280472451,0.00451778904850412,0.00133860416251974,0.00443412628834664,0.00184058072346464,0.0131350533447249,0.000167325520314967,0.000501976560944902,0.110351180647721,0,0.000167325520314967,0.00426680076803167,0.478299999820334,0.00108761588204729,0.197611439491976,0.00259354556488199,0.0125494140236226,0.0010039531218898,8.36627601574837e-05,0.00267720832503948,0,0.0220869686815757,0.00242622004456703,0.00351383592661432,0.00401581248755922,0.00343017316645683,0.000836627601574837,0.0889335140474052,0,0,0.00108761588204729,8.36627601574837e-05,8.36627601574837e-05,8.36627601574837e-05,1.04946566341548,2016-02-07 00:28:47
0.000824875067257821,0.00824875067257821,0.00123731260088673,0.013610438609754,0,0.0127855635424962,0.00206218766814455,0.014022876143383,0.00824875067257821,0.00742387560532039,0,0,0.000824875067257821,0.000824875067257821,0.000824875067257821,0.00164975013451564,0.00164975013451564,0.000412437533628911,0.0127855635424962,0.00164975013451564,0.00618656300443366,0.00123731260088673,0.00164975013451564,0.000412437533628911,0.000824875067257821,0.0292830648876527,0,0,0.000412437533628911,0.342735590445625,0.000412437533628911,0.251586895513635,0.000412437533628911,0,0,0,0.00123731260088673,0,0.00907362573983603,0.00206218766814455,0.00536168793717584,0.00866118820620712,0,0,0.0206218766814455,0,0,0.000412437533628911,0.000412437533628911,0,0,0.925097387929646,2016-02-12 20:59:17
0,0,0,0.001920228929693,0,0.0028803433945395,0,0,0.0595270968204829,0,0,0,0,0.000960114464846499,0,0,0,0,0.001920228929693,0,0,0,0,0,0.000960114464846499,0.00672080125392549,0,0,0,0.596231082669676,0,0.001920228929693,0,0,0,0,0,0,0.0048005723242325,0.000960114464846499,0.000960114464846499,0,0,0,0.00576068678907899,0,0,0,0,0,0,0.667279553068317,2016-04-05 17:45:44
0.000568938088969081,0,0,0.0119476998683507,0,0.00910300942350529,0.00028446904448454,0.0201973021584024,0.00739619515659805,0.00227575235587632,0.000568938088969081,0,0.00028446904448454,0.00739619515659805,0.00028446904448454,0,0.00113787617793816,0,0.00113787617793816,0.00199128331139178,0.00113787617793816,0.000853407133453621,0.00028446904448454,0,0,0.010525354645928,0,0,0.000853407133453621,1.02977794103404,0.00028446904448454,0.0227575235587632,0,0,0,0,0,0,0.0236109306922168,0.0028446904448454,0.00483597375623718,0.000853407133453621,0.00170681426690724,0.000568938088969081,0.00739619515659805,0,0,0.00028446904448454,0,0,0,0.861941204788157,2016-04-27 00:07:25
1.51731035316659e-05,2.52885058861099e-05,2.02308047088879e-05,0.000520943221253863,5.05770117722197e-06,0.000146673334139437,1.01154023544439e-05,0.000450135404772755,0.000177019541202769,6.06924141266637e-05,2.02308047088879e-05,0,5.05770117722197e-06,0.000146673334139437,1.01154023544439e-05,0,3.03462070633318e-05,1.51731035316659e-05,1.01154023544439e-05,1.51731035316659e-05,2.02308047088879e-05,2.52885058861099e-05,1.01154023544439e-05,0,5.05770117722197e-06,0.000273115863569986,5.05770117722197e-06,0,1.01154023544439e-05,0.0162857977906547,1.01154023544439e-05,0.000348981381228316,0,0,0,0,1.01154023544439e-05,0,0.000151731035316659,2.52885058861099e-05,5.05770117722197e-06,1.51731035316659e-05,4.55193105949977e-05,1.01154023544439e-05,0.000116327127076105,0,0,5.05770117722197e-06,0,0,0,0.0151579304281342,2016-04-28 01:00:17
0,0,0,0,0,0,0,0.00518119642352805,0.00259059821176403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00259059821176403,0,0,0,1.19944697204674,0,0,0,0,0,0,0,0,0.00518119642352805,0,0,0,0,0,0.00777179463529208,0,0,0,0,0,0,0.422267508517536,2016-05-13 22:14:10
0,0,0,0.00147227581340263,0,0,0,0,0.00294455162680527,0,0,0,0.00147227581340263,0.00147227581340263,0,0,0,0,0,0,0,0,0,0,0,0.0044168274402079,0,0,0,0.696386459739446,0,0.00147227581340263,0,0,0,0,0,0,0.00294455162680527,0,0,0,0,0,0,0,0,0,0,0,0,0.287093783613514,2016-05-26 21:57:06
