Date,Time,MeanBiovolume,MedianBiovolume,MaxBiovolume,MinBiovolume,StdBiovolume,NumRows
06/09/2018,032852,3683.39408854874,1833.64382080984,1022068.68719199,5.05876688919372,15794.521921056,5256
06/09/2018,035218,4120.72497585853,2038.51849667225,992479.683483209,0,15486.4206963812,5453
06/09/2018,041544,3893.00873425269,2092.75235126759,529714.045115074,6.44187266168775,13108.220711001,5601
06/09/2018,043911,3465.45971291045,1884.14051592745,243965.325407712,0,8171.67788044762,5710
06/09/2018,050237,3664.71006549592,1892.59556419245,1171452.20545649,5.35818699893309,17416.9470802844,5709
06/09/2018,052603,3356.42082843721,1869.4318620129,141261.304171112,4.32067578062287,6372.21527065849,5461
06/09/2018,054928,3186.57967559611,1896.83366128131,174056.254127928,5.65448100899253,6000.50248324458,4520
06/09/2018,061252,3272.89949915196,1908.4075984352,141010.559721587,3.30485424528781,6357.89384586298,4372
06/09/2018,063617,3513.31311563349,1919.21043844942,235928.034344358,4.28128844485089,8139.19034034178,4255
06/09/2018,065941,3327.37750761681,1934.8388629782,132759.689224204,0,6166.58714032249,4631
06/09/2018,072305,3777.44892011363,2091.74824594828,106738.518010466,4.2193947248895,6499.31972940157,4128
06/09/2018,074630,3716.30463719915,2072.2027394198,275952.370065539,5.23507013158563,7518.66923612002,4215
06/09/2018,080954,3626.22082010946,1978.45306127115,157148.943098105,0,6915.47143829322,3686
06/09/2018,083318,3668.17928948154,1966.74745084591,142266.435502718,6.89951307219428,7022.05317306815,3256
06/09/2018,223459,2783.98771432843,1615.35642686582,169487.112076411,4.95728156124574,6245.2581803425,3257
06/09/2018,234508,3036.34609674402,1586.39814967231,146493.052380227,3.30485424528781,6804.86296124664,3691
06/10/2018,000832,3172.47316494167,1559.69016994361,168652.580907382,0,7990.79435639849,3718
06/10/2018,003156,3360.28584443671,1486.93154041559,232041.105065285,4.04586485799929,9396.27144031353,3272
06/10/2018,005519,2912.49092541619,1476.74895137936,130610.455011939,7.28977309861301,7002.83334113022,3401
06/10/2018,011843,3454.00412557773,1488.44450490271,585783.01071991,0,13344.9216170453,3407
06/10/2018,014206,3403.43554990849,1428.85032921811,265854.773154499,3.30485424528781,10561.7672442473,3273
06/10/2018,215754,3665.90276328452,1803.08395874613,669401.310775796,0,13885.1132307972,3377
06/10/2018,222118,4048.6681439911,1965.57033125032,451951.226947112,0,11725.3113843462,3868
06/10/2018,224443,3917.03181545452,1895.00656708835,190630.82355332,0,8631.32727741146,3914
06/10/2018,230808,3830.5601229322,1931.80370903826,336367.220444038,0,9149.85107600179,4044
06/10/2018,233133,3502.8753078903,1852.46124701519,297285.168927501,0,8703.64360289993,3824
06/10/2018,235458,3365.03914612243,1855.46894833105,222659.43494386,0,6735.7138139661,4059
06/11/2018,001822,3869.64365336102,1700.03858050094,682345.396027028,0,16895.176446026,3685
06/11/2018,161626,3909.4796472686,1835.24922166336,412925.907483615,0,12837.7724408408,3653
06/11/2018,163951,3757.41729727266,1917.15983488289,194568.574404308,0,8604.29019695437,3907
06/11/2018,170316,3966.77955197332,1962.13207793527,255093.938932073,0,9487.04687174551,4317
06/11/2018,172642,4109.52462040587,1871.3608581009,460851.648630798,0,12789.3465170563,4051
