datetime,GroupCount,mean_BiovolumeMean,mean_BiovolumeSum,mean_BiovolumeStd,mean_BiovolumeMin,mean_BiovolumeMax,mean_EquivDiameterMean,mean_EquivDiameterSum,mean_EquivDiameterStd,mean_EquivDiameterMin,mean_EquivDiameterMax,mean_GroupCount,median_BiovolumeMean,median_BiovolumeSum,median_BiovolumeStd,median_BiovolumeMin,median_BiovolumeMax,median_EquivDiameterMean,median_EquivDiameterSum,median_EquivDiameterStd,median_EquivDiameterMin,median_EquivDiameterMax,median_GroupCount
18-Dec-2022,60,836135.57718275,253314864.540637,1519903.25960952,270.901359575667,13429783.9339667,89.5464489267984,25143.432043732,58.0912148553056,8.64071418246667,290.744804085,260.683333333333,828077.77598917,194871574.091904,1340488.16669118,170.1458664,6107119.001,95.8947635019679,21263.80434395,59.0894651774285,9.373021316,243.46038865,226.5
19-Dec-2022,60,629375.307090343,123436114.494812,1384086.43226533,223.801822274,12084043.1388667,79.9148190816108,15461.4134880869,54.8527639266832,7.94361712101667,278.918448185,191.333333333333,638603.36676276,113793486.159552,1102787.24325305,154.75252535,5563101.9675,80.6389489818234,15805.8314920345,55.5168532353485,8.9916326595,235.46482025,197.5
20-Dec-2022,60,468008.798639069,76297565.8646885,920945.339676202,203.700438418667,5777199.62923333,72.377313989298,11086.3696229806,48.7147502723335,7.67718171158333,227.798782083333,146.05,417170.185673526,48338050.7391812,836689.369843594,174.22749255,4068110.1775,69.4548483292629,8530.3544092695,48.8529390188367,8.516123516,212.35871265,130
21-Dec-2022,60,379113.802981196,52472948.203235,851933.997916546,231.361281525,5658245.2011,66.736522806314,9224.30398852942,45.8953594597595,8.37949220083333,224.915179376667,137.933333333333,368689.417990013,48042831.7453111,735936.050667121,178.3303682,3686532.661,67.2831230540251,9101.669466486,46.1014546754688,8.6669335795,206.2852101,140.5
22-Dec-2022,60,255216.762759842,29888657.3448913,680828.604629672,400.2483423995,4697417.89918333,58.9131549496891,6826.8996464202,38.9747372335615,9.88689703383333,215.885029081667,116.016666666667,232262.524695056,28436875.0317149,567418.745507619,249.37020115,3853367.724,58.1540205340675,6926.3992320015,38.5445458070274,9.706463034,208.0567084,112.5
23-Dec-2022,60,200977.610491247,28985028.7183216,658016.986473726,308.152346174833,5706340.02263333,55.3627975966846,7964.40081447997,35.3187696352985,9.20307665031667,228.767636468333,143.983333333333,193771.248496332,27364728.2768854,557102.580672741,261.0032375,3914255.0625,55.4775183903114,7850.5864700155,34.8845737089428,9.236181543,215.8532866,143
24-Dec-2022,60,139176.035449496,26148111.5309549,478074.703123216,234.430805493333,5124411.84930333,51.4627883797511,9655.58811696935,30.9744858805179,8.79694876428333,227.540197735,187.766666666667,135312.366319919,26000771.1535106,401496.269336751,210.74006285,3743726.4915,51.6219298962305,9534.204970229,32.0226085395298,8.884866447,212.95856265,186
25-Dec-2022,60,121423.43084917,27551656.0389526,412832.043967581,249.665397515667,4821652.78089833,50.1580157552905,11044.8416783564,29.6411662756443,8.46487113976667,219.69282275,219.983333333333,109309.322747286,27950089.9582071,330523.191319208,174.38015745,3303243.238,50.3763612774704,12805.7798581885,28.7455161079068,8.368283872,204.07915605,255.5
26-Dec-2022,60,92750.12382831,7265697.56938489,229240.136863015,492.164258529167,1693039.55748,49.6319542665562,4117.04917055258,24.7835803616296,10.0914218185667,153.316708830667,83.6833333333333,87653.2378432576,6927631.41125975,168773.894108513,272.1892395,1067745.858,48.974518572637,4062.0535317045,24.3843341064696,9.60774528,147.53226595,82
27-Dec-2022,60,119448.457031925,11369086.997454,291040.42296196,1275.41563949733,2334922.29452167,50.8930353658357,5717.02025199025,27.6966437920539,11.2012526706167,169.240120187833,121.133333333333,90173.1919660701,6786217.14651965,163798.670999256,241.9952774,1094434.9965,49.8776032987236,4034.615654027,26.0284660773364,9.70668462,143.73642145,82
