Period,Mean,Max,Min,Median,Std,CI95
1,1.257812608,2.634011,0.6664001,1.106866,0.494538839408178,0.193859225048006
2,1.361149948,4.796731,0.6601439,1.089041,0.860265184878356,0.337223952472316
3,1.57718254,4.154051,0.7847334,1.273101,0.846890710999545,0.331981158711822
4,1.631365488,4.48005,0.7089766,1.323599,0.816076220384241,0.319901878390622
5,2.440918356,5.604415,0.9729699,2.117033,1.25998162389734,0.493912796567757
6,2.86732728,6.647844,1.004717,2.631702,1.45641403652257,0.570914302316847
7,3.80475188461538,6.598108,1.52131,3.703918,1.31071746874027,0.503823574685794
8,3.9634532,6.820813,1.825499,3.814529,1.28642412150886,0.504278255631472
9,3.5643515,8.190388,1.011666,3.302535,1.6184171786472,0.647501725511265
10,3.13698808333333,5.285504,1.175803,2.916244,1.23444768377507,0.493881933436884
11,3.617669375,8.859974,0.720748,3.213983,1.77601850483174,0.710555388061149
12,4.24107695833333,8.466704,2.462559,3.816109,1.61676522242568,0.646840805373979
13,2.85621574583333,4.845199,0.8882449,2.8472365,0.978193056456574,0.391358730181177
14,2.93799704166667,5.957263,1.217815,2.740288,1.43254539031463,0.573137522475678
15,2.9689370875,5.754788,0.9969591,3.009044,1.21834426434636,0.487439223853535
16,2.98666171666667,8.046515,0.8781622,2.467161,1.61102054032604,0.644542453860468
17,3.28137425,6.693715,1.180049,3.115076,1.33439171929432,0.533867875446818
18,3.37663283333333,6.35357,1.090934,3.121138,1.58978245286158,0.636045449218383
19,3.23501614583333,7.447883,0.8523435,3.042756,1.67067959052612,0.668411045010251
20,3.2082400125,7.576448,0.7501822,2.6402865,1.75461372270821,0.701991691665661
21,2.87792866666667,7.492708,0.7615124,2.617192,1.49553860833418,0.598340058571632
22,2.63041391666667,8.938268,1.019681,2.0801505,1.73712143275808,0.694993318146588
23,1.86727587916667,5.365362,0.7611884,1.4570765,1.13516657480971,0.454161217286625
24,1.40702430833333,4.334216,0.7829416,1.073582,0.823906271125578,0.329631160155684
