Period,Mean,Max,Min,Median,Std,CI95
1,4.141568184,10.32514,0.9417996,3.392223,2.44442337845446,0.958213964354147
2,4.27462044,12.33853,1.360774,3.51102,2.66100478443593,1.04311387549889
3,5.9140578,15.29596,1.521168,4.602433,3.80541918395584,1.49172432011069
4,6.15167496,16.13638,1.507229,5.386674,3.68851149051919,1.44589650428352
5,7.54534268,16.10811,4.023438,6.745296,3.04521074022629,1.19372261016871
6,9.01647532,14.74582,3.05706,8.550897,3.11330639794989,1.22041610799636
7,11.2805131153846,17.32085,3.698984,12.27673,3.44084886402818,1.32261972238332
8,11.37155364,18.42002,4.692044,11.77462,3.12321071756758,1.22429860128649
9,10.06665425,15.32812,3.865278,10.252095,3.40510021792611,1.36232381596993
10,9.896349375,17.49025,5.032211,9.9342825,3.15003748748948,1.26027747078137
11,10.769367125,14.47599,1.868991,11.070205,3.14212859387856,1.25711325433117
12,11.4607352916667,16.84458,3.860593,11.57025,2.96904341771857,1.18786476160466
13,9.43076954166667,16.54713,1.775205,9.2000135,3.69627218926506,1.47881686630945
14,9.08320654166667,22.25087,2.535448,8.6328385,4.32882752285329,1.73189170719942
15,9.96346745833334,17.41747,3.118054,8.7815045,3.49315639192853,1.39755362282118
16,10.5584032916667,21.75754,4.487552,10.21331,4.23772116916768,1.69544157431972
17,11.8530723333333,19.33689,3.822194,11.937985,4.34131086730348,1.73688608514986
18,12.94424025,19.93501,3.669916,13.23498,5.05666344697319,2.02308672352435
19,12.82222375,21.73535,3.640958,12.38221,4.94346317542136,1.97779718253009
20,11.7971,22.0205,3.00099,11.304175,4.95190305319238,1.9811738368884
21,12.030117375,23.32834,2.134965,11.739235,5.37885273937539,2.15198928679673
22,11.9846337083333,24.29962,3.573225,9.9096615,6.43562643038063,2.57478681850161
23,8.22325408333333,17.81879,2.152758,6.624124,4.91969640383801,1.96828849353872
24,5.445439875,21.83437,1.671139,2.9191345,4.79018796687286,1.91647432750689
